SampleID	DolphinID	Species	BodySite	Gender	Contra	Age	Origin	Wild	Facility	Code	Habitat	Type	Environment	Forward	Reverse	PCR30	PCR35
1	n/a	Tt	n/a	n/a	n/a	n/a	n/a	Y	n/a	n/a	ULM	Water	Wild	A	1	Y	n/a
2	n/a	Tt	n/a	n/a	n/a	n/a	n/a	Y	n/a	n/a	ULM	Water	Wild	B	1	Y	n/a
3	n/a	Tt	n/a	n/a	n/a	n/a	n/a	Y	n/a	n/a	ULM	Water	Wild	M	1	Y	n/a
4	n/a	Tt	n/a	n/a	n/a	n/a	n/a	Y	n/a	n/a	ULM	Water	Wild	D	1	Y	n/a
5	n/a	Tt	n/a	n/a	n/a	n/a	n/a	Y	n/a	n/a	ULM	Water	Wild	E	1	Y	n/a
6	n/a	Tt	n/a	n/a	n/a	n/a	n/a	Y	n/a	n/a	PA	Water	Wild	F	1	Y	n/a
7	n/a	Tt	n/a	n/a	n/a	n/a	n/a	Y	n/a	n/a	PA	Water	Wild	G	1	Y	n/a
8	n/a	Tt	n/a	n/a	n/a	n/a	n/a	Y	n/a	n/a	PA	Water	Wild	H	1	Y	n/a
9	n/a	Tt	n/a	n/a	n/a	n/a	n/a	Y	n/a	n/a	PA	Water	Wild	I	1	Y	n/a
10	n/a	Tt	n/a	n/a	n/a	n/a	n/a	Y	n/a	n/a	PA	Water	Wild	J	1	Y	n/a
11	n/a	Tt	n/a	n/a	n/a	n/a	n/a	Y	n/a	n/a	PA	Water	Wild	K	1	Y	n/a
12	n/a	Tt	n/a	n/a	n/a	n/a	n/a	Y	n/a	n/a	PA	Water	Wild	L	1	Y	n/a
13	n/a	Tt	n/a	n/a	n/a	n/a	n/a	Y	n/a	n/a	PA	Water	Wild	A	2	Y	n/a
14	n/a	Tt	n/a	n/a	n/a	n/a	n/a	Y	n/a	n/a	PA	Water	Wild	B	2	Y	n/a
15	n/a	Tt	n/a	n/a	n/a	n/a	n/a	Y	n/a	n/a	PA	Water	Wild	M	2	Y	n/a
16	n/a	Tt	n/a	n/a	n/a	n/a	n/a	Y	n/a	n/a	PA	Water	Wild	D	2	Y	n/a
17	n/a	Tt	n/a	n/a	n/a	n/a	n/a	Y	n/a	n/a	ULM	Water	Wild	E	2	Y	n/a
18	n/a	Tt	n/a	n/a	n/a	n/a	n/a	Y	n/a	n/a	ULM	Water	Wild	F	2	Y	n/a
19	n/a	Tt	n/a	n/a	n/a	n/a	n/a	Y	n/a	n/a	ULM	Water	Wild	G	2	Y	n/a
20	n/a	Tt	n/a	n/a	n/a	n/a	n/a	Y	n/a	n/a	ULM	Water	Wild	H	2	Y	n/a
21	n/a	Tt	n/a	n/a	n/a	n/a	n/a	Y	n/a	n/a	ULM	Water	Wild	I	2	Y	n/a
